cnt_out  term_cnt    time
     xx         x       0
     00         1    5000
     00         1   10000
     00         1   15000
     00         1   20000
     00         1   25000
     00         1   30000
     00         1   35000
     00         1   40000
     00         1   45000
     00         1   50000
     00         1   55000
     00         1   60000
     00         1   65000
     00         1   70000
     00         1   75000
     00         1   80000
     02         0   85000
     02         0   90000
     02         0   95000
     02         0   100000
